Date/Time,Notes,Speed_Up_Total,Speed_Up_Research_Total,Speed_Up_Merging_Total,Speed_Up_3m,Speed_Up_5m,Speed_Up_10m,Speed_Up_15m,Speed_Up_30m,Speed_Up_60m,Speed_Up_3h,Speed_Up_8h,Speed_Up_15h,Speed_Up_24h,Speed_Up_3d,Speed_Up_Research_5m,Speed_Up_Research_10m,Speed_Up_Research_15m,Speed_Up_Research_30m,Speed_Up_Research_60m,Speed_Up_Research_3h,Speed_Up_Research_8h,Speed_Up_Research_15h,Speed_Up_Research_24h,Speed_Up_Merging_15m,Speed_Up_Merging_60m,Speed_Up_Merging_3h,Speed_Up_Merging_8h,Speed_Up_Merging_15h
7/27/2019 20:00,initial data,"8 Days, 1 Hours, 9 Minutes","12 Days, 15 Hours, 55 Minutes","14 Days, 17 Hours, 30 Minutes",9 Minutes,"10 Hour, 0 Minutes","1 Days, 0 Hours, 0 Minutes","1 Days, 2 Hours, 0 Minutes","1 Days, 11 Hours, 0 Minutes","1 Days, 5 Hours, 0 Minutes","1 Days, 21 Hours, 0 Minutes","1 Days, 0 Hours, 0 Minutes",0 Minutes,0 Minutes,0 Minutes,"1 Hour, 0 Minutes","12 Hour, 40 Minutes","13 Hour, 45 Minutes","1 Days, 1 Hours, 30 Minutes","3 Days, 4 Hours, 0 Minutes","2 Days, 15 Hours, 0 Minutes","4 Days, 16 Hours, 0 Minutes",0 Minutes,0 Minutes,"21 Hour, 30 Minutes","1 Days, 23 Hours, 0 Minutes","4 Days, 21 Hours, 0 Minutes","7 Days, 0 Hours, 0 Minutes",0 Minutes
7/27/2019 22:22,"After merging Watcher event (375,000 points, 10 days of speedups used)","10 Days, 9 Hours, 39 Minutes","13 Days, 17 Hours, 50 Minutes","4 Days, 19 Hours, 0 Minutes",9 Minutes,"7 Hour, 0 Minutes","1 Days, 1 Hours, 0 Minutes","1 Days, 2 Hours, 0 Minutes","1 Days, 10 Hours, 30 Minutes","1 Days, 4 Hours, 0 Minutes","2 Days, 9 Hours, 0 Minutes","3 Days, 0 Hours, 0 Minutes",0 Minutes,0 Minutes,0 Minutes,"1 Hour, 0 Minutes","12 Hour, 50 Minutes","14 Hour, 0 Minutes","1 Days, 3 Hours, 0 Minutes","3 Days, 4 Hours, 0 Minutes","2 Days, 15 Hours, 0 Minutes","4 Days, 16 Hours, 0 Minutes",0 Minutes,"1 Days, 0 Hours, 0 Minutes","21 Hour, 0 Minutes","1 Days, 7 Hours, 0 Minutes","2 Days, 15 Hours, 0 Minutes",0 Minutes,0 Minutes
7/30/2019 15:54,update,"11 Days, 16 Hours, 43 Minutes","15 Days, 23 Hours, 40 Minutes","5 Days, 11 Hours, 45 Minutes",18 Minutes,"7 Hour, 50 Minutes","1 Days, 6 Hours, 50 Minutes","1 Days, 0 Hours, 45 Minutes","1 Days, 10 Hours, 0 Minutes","1 Days, 15 Hours, 0 Minutes","3 Days, 0 Hours, 0 Minutes","3 Days, 0 Hours, 0 Minutes",0 Minutes,0 Minutes,0 Minutes,"1 Hour, 20 Minutes","16 Hour, 20 Minutes","19 Hour, 0 Minutes","1 Days, 10 Hours, 0 Minutes","4 Days, 3 Hours, 0 Minutes","3 Days, 6 Hours, 0 Minutes","4 Days, 16 Hours, 0 Minutes",0 Minutes,"1 Days, 0 Hours, 0 Minutes","21 Hour, 45 Minutes","1 Days, 8 Hours, 0 Minutes","3 Days, 6 Hours, 0 Minutes",0 Minutes,0 Minutes
7/31/2019 16:52,update,"13 Days, 5 Hours, 54 Minutes","18 Days, 14 Hours, 55 Minutes","6 Days, 0 Hours, 15 Minutes",24 Minutes,"8 Hour, 10 Minutes","1 Days, 12 Hours, 20 Minutes","1 Days, 2 Hours, 0 Minutes","1 Days, 13 Hours, 0 Minutes","1 Days, 17 Hours, 0 Minutes","3 Days, 9 Hours, 0 Minutes","3 Days, 16 Hours, 0 Minutes",0 Minutes,0 Minutes,0 Minutes,"1 Hour, 20 Minutes","17 Hour, 20 Minutes","21 Hour, 45 Minutes","1 Days, 12 Hours, 30 Minutes","4 Days, 8 Hours, 0 Minutes","3 Days, 18 Hours, 0 Minutes","6 Days, 8 Hours, 0 Minutes",0 Minutes,"1 Days, 0 Hours, 0 Minutes","22 Hour, 15 Minutes","1 Days, 8 Hours, 0 Minutes","3 Days, 18 Hours, 0 Minutes",0 Minutes,0 Minutes
8/1/2019 14:05,update during 20% merging speedup boost event which ends tomorrow,"13 Days, 18 Hours, 0 Minutes","19 Days, 1 Hours, 35 Minutes","6 Days, 15 Hours, 0 Minutes",15 Minutes,"8 Hour, 10 Minutes","1 Days, 17 Hours, 20 Minutes","1 Days, 3 Hours, 45 Minutes","1 Days, 12 Hours, 30 Minutes","1 Days, 23 Hours, 0 Minutes","3 Days, 9 Hours, 0 Minutes","3 Days, 16 Hours, 0 Minutes",0 Minutes,0 Minutes,0 Minutes,"1 Hour, 30 Minutes","19 Hour, 20 Minutes","22 Hour, 45 Minutes","1 Days, 14 Hours, 0 Minutes","4 Days, 8 Hours, 0 Minutes","4 Days, 0 Hours, 0 Minutes","6 Days, 8 Hours, 0 Minutes",0 Minutes,"1 Days, 0 Hours, 0 Minutes","23 Hour, 0 Minutes","1 Days, 16 Hours, 0 Minutes","4 Days, 0 Hours, 0 Minutes",0 Minutes,0 Minutes
8/2/2019 16:00,"update, watcher for merging coming up, 20% boost still active for merging","14 Days, 13 Hours, 39 Minutes","20 Days, 1 Hours, 30 Minutes","6 Days, 21 Hours, 45 Minutes",24 Minutes,"8 Hour, 25 Minutes","2 Days, 1 Hours, 20 Minutes","1 Days, 7 Hours, 0 Minutes","1 Days, 17 Hours, 30 Minutes","2 Days, 2 Hours, 0 Minutes","3 Days, 9 Hours, 0 Minutes","3 Days, 16 Hours, 0 Minutes",0 Minutes,0 Minutes,0 Minutes,"1 Hour, 40 Minutes","21 Hour, 20 Minutes","23 Hour, 30 Minutes","1 Days, 14 Hours, 0 Minutes","4 Days, 14 Hours, 0 Minutes","4 Days, 15 Hours, 0 Minutes","6 Days, 8 Hours, 0 Minutes",0 Minutes,"1 Days, 0 Hours, 0 Minutes","23 Hour, 45 Minutes","1 Days, 16 Hours, 0 Minutes","4 Days, 6 Hours, 0 Minutes",0 Minutes,0 Minutes
8/4/2019 11:00,watcher for merging just appeared,"15 Days, 8 Hours, 39 Minutes","22 Days, 5 Hours, 25 Minutes","7 Days, 1 Hours, 45 Minutes",24 Minutes,"9 Hour, 5 Minutes","2 Days, 11 Hours, 40 Minutes","1 Days, 9 Hours, 30 Minutes","1 Days, 19 Hours, 0 Minutes","2 Days, 6 Hours, 0 Minutes","3 Days, 9 Hours, 0 Minutes","3 Days, 16 Hours, 0 Minutes",0 Minutes,0 Minutes,0 Minutes,"2 Hour, 0 Minutes","23 Hour, 40 Minutes","1 Days, 1 Hours, 15 Minutes","1 Days, 23 Hours, 30 Minutes","4 Days, 19 Hours, 0 Minutes","6 Days, 0 Hours, 0 Minutes","6 Days, 8 Hours, 0 Minutes",0 Minutes,"1 Days, 0 Hours, 0 Minutes","1 Days, 0 Hours, 45 Minutes","1 Days, 16 Hours, 0 Minutes","4 Days, 9 Hours, 0 Minutes",0 Minutes,0 Minutes
8/7/2019 13:21,merging pacts (watcher) just appeared,"18 Days, 19 Hours, 6 Minutes","25 Days, 7 Hours, 0 Minutes","7 Days, 9 Hours, 45 Minutes",21 Minutes,"9 Hour, 40 Minutes","2 Days, 23 Hours, 50 Minutes","1 Days, 15 Hours, 45 Minutes","2 Days, 1 Hours, 30 Minutes","2 Days, 18 Hours, 0 Minutes","5 Days, 6 Hours, 0 Minutes","3 Days, 16 Hours, 0 Minutes",0 Minutes,0 Minutes,0 Minutes,"2 Hour, 30 Minutes","1 Days, 5 Hours, 0 Minutes","1 Days, 7 Hours, 30 Minutes","2 Days, 5 Hours, 0 Minutes","6 Days, 3 Hours, 0 Minutes","7 Days, 0 Hours, 0 Minutes","6 Days, 8 Hours, 0 Minutes",0 Minutes,"1 Days, 0 Hours, 0 Minutes","1 Days, 2 Hours, 45 Minutes","1 Days, 19 Hours, 0 Minutes","4 Days, 12 Hours, 0 Minutes",0 Minutes,0 Minutes
8/11/2019 23:34,Guildfest start. I used speedups for some building and a lot of forging.,"16 Days, 15 Hours, 41 Minutes","33 Days, 19 Hours, 55 Minutes","7 Days, 20 Hours, 45 Minutes",21 Minutes,"11 Hour, 0 Minutes","1 Days, 6 Hours, 50 Minutes","1 Days, 6 Hours, 0 Minutes","1 Days, 12 Hours, 30 Minutes","2 Days, 22 Hours, 0 Minutes","3 Days, 21 Hours, 0 Minutes","5 Days, 8 Hours, 0 Minutes",0 Minutes,0 Minutes,0 Minutes,"3 Hour, 20 Minutes","1 Days, 14 Hours, 50 Minutes","1 Days, 15 Hours, 15 Minutes","2 Days, 18 Hours, 30 Minutes","7 Days, 3 Hours, 0 Minutes","9 Days, 21 Hours, 0 Minutes","9 Days, 16 Hours, 0 Minutes",0 Minutes,"1 Days, 0 Hours, 0 Minutes","1 Days, 6 Hours, 45 Minutes","1 Days, 23 Hours, 0 Minutes","4 Days, 15 Hours, 0 Minutes",0 Minutes,0 Minutes
8/18/2019 21:13,General update. I blew a bunch of normal speedups on forging a few days ago.,"25 Days, 7 Hours, 54 Minutes","40 Days, 1 Hours, 45 Minutes","10 Days, 3 Hours, 45 Minutes",24 Minutes,"11 Hour, 55 Minutes","2 Days, 18 Hours, 20 Minutes","1 Days, 13 Hours, 15 Minutes","2 Days, 4 Hours, 0 Minutes","3 Days, 18 Hours, 0 Minutes","6 Days, 6 Hours, 0 Minutes","7 Days, 8 Hours, 0 Minutes",0 Minutes,"1 Days, 0 Hours, 0 Minutes",0 Minutes,"3 Hour, 40 Minutes","2 Days, 2 Hours, 50 Minutes","2 Days, 5 Hours, 15 Minutes","3 Days, 15 Hours, 0 Minutes","8 Days, 16 Hours, 0 Minutes","11 Days, 15 Hours, 0 Minutes","10 Days, 16 Hours, 0 Minutes",0 Minutes,"1 Days, 0 Hours, 0 Minutes","1 Days, 10 Hours, 45 Minutes","2 Days, 2 Hours, 0 Minutes","5 Days, 15 Hours, 0 Minutes","1 Days, 0 Hours, 0 Minutes",0 Minutes
